Rank,Name,Name in Georgian,Population 1989,Population 2002,Population 2020,Administrative Region
1.,Tbilisi,თბილისი,"1,243,200","1,073,300","1,184,282",Tbilisi (capital region)
2.,Batumi,ბათუმი,"136,900","121,800","204,156",Adjara
3.,Kutaisi,ქუთაისი,"232,500","186,000","147,635",Imereti
4.,Rustavi,რუსთავი,"159,000","116,400","125,103",Kvemo Kartli
5.,Gori,გორი,"67,800","49,500","48,143",Shida Kartli
6.,Zugdidi,ზუგდიდი,"49,600","68,900","42,998",Samegrelo-Zemo Svaneti
7.,Poti,ფოთი,"50,600","47,100","41,465",Samegrelo-Zemo Svaneti
8.,Kobuleti,ქობულეთი,"20,600","18,600","27,546",Adjara
9.,Khashuri,ხაშური,"31,700","28,600","26,135",Shida Kartli
10.,Samtredia,სამტრედია,"34,300","29,800","25,318",Imereti
11.,Senaki,სენაკი,"28,900","28,100","21,596",Samegrelo-Zemo Svaneti
12.,Zestafoni,ზესტაფონი,"25,900","24,200","20,814",Imereti
13.,Marneuli,მარნეული,"27,100","20,100","20,211",Kvemo Kartli
14.,Telavi,თელავი,"27,800","21,800","19,629",Kakheti
15.,Akhaltsikhe,ახალციხე,"24,700","18,500","18,903",Samtskhe-Javakheti
16.,Ozurgeti,ოზურგეთი,"23,300","18,700","14,785",Guria
17.,Kaspi,კასპი,"17,100","15,200","13,423",Shida Kartli
18.,Chiatura,ჭიათურა,"28,900","13,800","12,803",Imereti
19.,Tsqaltubo,წყალტუბო,"17,400","16,800","11,281",Imereti
20.,Sagarejo,საგარეჯო,"14,400","12,600","10,871",Kakheti
21.,Gardabani,გარდაბანი,"17,000","11,900","10,753",Kvemo Kartli
22.,Borjomi,ბორჯომი,"17,800","14,400","10,546",Samtskhe-Javakheti
23.,Tkibuli,ტყიბული,"22,000","14,500","9,770",Imereti
24.,Khoni,ხონი,"14,300","11,300","8,987",Imereti
25.,Bolnisi,ბოლნისი,"14,900","9,900","8,967",Kvemo Kartli
26.,Akhalkalaki,ახალქალაქი,"15,200","9,800","8,295",Samtskhe-Javakheti
27.,Gurjaani,გურჯაანი,"12,600","10,000","8,024",Kakheti
28.,Mtskheta,მცხეთა,"8,900","7,700","7,940",Mtskheta-Mtianeti
29.,Kvareli,ყვარელი,"11,300","9,000","7,739",Kakheti
30.,Akhmeta,ახმეტა,"8,900","8,600","7,105",Kakheti
31.,Kareli,ქარელი,"8,300","7,200","6,654",Shida Kartli
32.,Lanchkhuti,ლანჩხუთი,"9,000","7,900","6,395",Guria
33.,Tsalenjikha,წალენჯიხა,"9,300","9,000","6,388",Samegrelo-Zemo Svaneti
34.,Dusheti,დუშეთი,"8,500","7,300","6,167",Mtskheta-Mtianeti
35.,Sachkhere,საჩხერე,"7,800","6,700","6,140",Imereti
36.,Dedoplistsqaro,დედოფლისწყარო,"10,100","7,700","5,940",Kakheti
37.,Lagodekhi,ლაგოდეხი,"9,000","6,900","5,918",Kakheti
38.,Ninotsminda,ნინოწმინდა,"6,900","6,300","5,144",Samtskhe-Javakheti
39.,Abasha,აბაშა,"7,200","6,400","4,941",Samegrelo-Zemo Svaneti
40.,Tsnori,წნორი,"2,900","6,100","4,815",Kakheti
41.,Terjola,თერჯოლა,"6,300","5,500","4,644",Imereti
42.,Martvili,მარტვილი,"6,000","5,600","4,425",Samegrelo-Zemo Svaneti
43.,Jvari,ჯვარი,"5,100","4,800","4,361",Samegrelo-Zemo Svaneti
44.,Khobi,ხობი,"6,600","5,600","4,242",Samegrelo-Zemo Svaneti
45.,Vani,ვანი,"6,400","4,600","3,744",Imereti
46.,Baghdati,ბაღდათი,"5,500","4,700","3,707",Imereti
47.,Vale,ვალე,"6,300","5,000","3,646",Samtskhe-Javakheti
48.,Tetritsqaro,თეთრი წყარო,"8,600","4,000","3,093",Kvemo Kartli
49.,Tsalka,წალკა,"8,000","1,700","2,874",Kvemo Kartli
50.,Dmanisi,დმანისი,"8,600","3,400","2,661",Kvemo Kartli
51.,Oni,ონი,"5,500","3,300","2,656",Racha-Lechkhumi and Kvemo Svaneti
52.,Ambrolauri,ამბროლაური,"2,900","2,500","2,047",Racha-Lechkhumi and Kvemo Svaneti
53.,Sighnaghi,სიღნაღი,"3,100","2,100","1,485",Kakheti
54.,Tsageri,ცაგერი,"1,400","2,000","1,320",Racha-Lechkhumi and Kvemo Svaneti
